Gender,Brand,Fragrance,Top,Heart,Base,Description,Rating,Longevity,Seasonal Use,Occasion,Price,Projection/Sillage
Women,Prada,Les Infusions de Prada Rose,"Mandarin, neroli, rose","Turkish rose, Bulgarian rose, peony","Musk, patchouli, cedarwood","A delicate and feminine fragrance with floral and powdery notes, perfect for a romantic and gentle woman.",4.3,Moderate,Spring & Summer,Formal (Daytime),$$$,Moderate
Women,Prada,L'Homme,"Neroli, black pepper, cardamom","Iris, amber, geranium","Cedarwood, patchouli, sandalwood","A fresh and spicy fragrance with woody and floral undertones, perfect for a modern and confident man.",4.5,Moderate,Spring & Summer,Formal (Daytime),$$$,Moderate
Men,Prada,Luna Rossa Carbon,"Bergamot, pepper","Lavender, soil tincture, metallic note","Patchouli, ambroxan","A modern and sophisticated fragrance inspired by the collision of nature and technology. It exudes energy, vitality and lightness, and is perfect for the adventurous spirit.",4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Prada,L'Homme,"Neroli, pepper","Iris, violet, geranium","Amber, cedarwood","A refined, elegant and timeless fragrance that exudes power and confidence. It is perfect for the modern gentleman who is both classic and daring.",4.6,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Prada,Luna Rossa,"Bitter orange, lavender","Clary sage, spearmint","Ambroxan, ambrette","A fresh, clean and crisp fragrance inspired by the world of sailing. It is perfect for the man who loves adventure and the great outdoors.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Prada,Amber Pour Homme,"Mandarin, bergamot","Cardamom, neroli, geranium","Vetiver, patchouli, tonka bean","A classic and sophisticated fragrance that exudes warmth, sensuality and masculinity. It is perfect for the refined and elegant man.",4.4,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Prada,Amber Intense,"Bergamot, patchouli","Myrrh, vanilla, tonka bean","Leather, sandalwood","A rich and complex fragrance that exudes sensuality and intimacy. It is perfect for the man who is confident, elegant and sophisticated.",4.2,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Prada,Luna Rossa Black,"Bergamot, angelica","Patchouli, coumarin","Musk, amber","A bold and intense fragrance inspired by the world of extreme sailing. It exudes strength, power and masculinity, and is perfect for the modern man who loves adventure.",4.4,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Prada,L'Homme L'Eau,"Mandarin, ginger","Neroli, iris, amber","Sandalwood, cedarwood","A fresh and vibrant fragrance that exudes energy, lightness and sophistication. It is perfect for the man who is confident, modern and stylish.",4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Prada,Infusion d'Homme,"Mandarin, neroli","Iris, cedarwood, vetiver","Benzoin, frankincense","A classic and refined fragrance that exudes elegance, simplicity and timelessness. It is perfect for the man who values tradition and authenticity.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Prada,Luna Rossa Sport,"Lavender, juniper berries","Ginger, tonka bean","Vanilla, heliotrope","A fresh and energetic fragrance inspired by the world of extreme sailing. It exudes power, strength and adrenaline, and is perfect for the man who loves adventure.",4.3,Long-lasting,All Seasons,Casual (All),$$,Moderate
Men,Prada,Luna Rossa Ocean,"Bergamot, lemon","Lavender, ozonic accord, geranium","Ambergris, ambroxan","A fresh and aquatic fragrance inspired by the power of the ocean. It exudes energy, vitality and freedom, and is perfect for the man who loves the sea.",4.4,Moderate,All Seasons,Casual (All),$$,Moderate
Women,Prada,Infusion d'Iris,"Mandarin, Orange Blossom","Iris, Lentisk, Galbanum","Incense, Cedar, Benzoin","A fresh and clean fragrance with a delicate iris scent, perfect for everyday wear.",4.3,Moderate,Spring & Fall,Casual (Daytime),$$,Moderate
Women,Prada,Infusion de Rose,"Mandarin, Galbanum","Rose, Turkish Rose, Egyptian Geranium","Atlas Cedar, White Musk, Amber","A romantic and feminine fragrance with a rich rose scent, perfect for a special occasion.",4.2,Moderate,Spring & Fall,Casual (Daytime),$$,Moderate
Women,Prada,Infusion de Fleur d'Oranger,"Orange Blossom, Neroli, Tuberose, Jasmine","Mandarin, Galbanum, Lentisk","Benzoin, Musk, Woody Notes","A fresh and floral fragrance with a citrusy orange blossom scent, perfect for spring and summer.",4.1,Moderate,Spring & Fall,Casual (Daytime),$$,Moderate
Women,Profumum Roma,Ambra,"Amber, Vanilla, Benzoin","Labdanum, Patchouli, Sandalwood","Musk, Ambergris",A warm and sensual amber fragrance that is perfect for cold weather.,4.2,Moderate to long-lasting,Fall & Winter,Formal (All),$$$,Strong
Men,Puredistance,Song for a Queen,"Bergamot, Mandarin, Rose, Jasmine, and Sandalwood",N/A,N/A,"Song for a Queen is a floral fragrance for men that was launched in 2018. It features a blend of bergamot, mandarin, rose, jasmine, and sandalwood that creates a delicate and romantic aroma.",4.3,Long-lasting,Spring & Summer,Formal (Evening),$$$,Moderate to Heavy
Women,Ralph Lauren,Romance,"Ginger, Chamomile, Lemon, Yellow Freesia, Rose","Lily, Carnation, White Violet, Lotus","Exotic Woods, Patchouli, Oakmoss, White Musk","A feminine, romantic scent that captures the essence of true love with a blend of floral and woodsy notes.",4.6,Moderate to long-lasting,All Seasons,Casual (Daytime),$$,Moderate
Women,Ralph Lauren,Ralph,"Japanese Osmanthus, Apple Leaf, Italian Mandarin","Magnolia, Boronia, Yellow Freesia","Musk, White Orris","A fruity-floral scent that is fresh and youthful, with a unique combination of sweet and sour notes.",4.7,Moderate to long-lasting,All Seasons,Casual (Daytime),$$,Moderate
Women,Ralph Lauren,Ralph Lauren Woman,"Blackcurrant, Pear, Rhubarb","Tuberose, Orange Flower, Turkish Rose","Hazelnut, Sandalwood, Vanilla","A floral oriental fragrance with a blend of sweet and tart fruits, floral notes, and warm, woody undertones.",4.6,Moderate to long-lasting,Fall & Winter,Casual (Daytime),$$$,Moderate
Women,Ralph Lauren,Big Pony 2,"Cranberry, Tonka Bean",Dark Chocolate,"Musk, Amber","A fruity and sweet fragrance that is perfect for daily wear, with a playful blend of cranberry and chocolate notes.",4.5,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$,Moderate
Women,Ralph Lauren,Big Pony 3,"Pear, Mimosa","Lily of the Valley, Gardenia","Cedarwood, Musk","A floral scent with a touch of fruity sweetness, perfect for those who want a fresh and light fragrance.",4.5,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$,Moderate
Women,Ralph Lauren,Tender Romance,"Bergamot, Pear, Ginger","White Ginger Lily, White Magnolia, Jasmine","Benzoin, Cashmere Wood, Musk","A romantic and sophisticated fragrance that is perfect for special occasions, with a blend of floral and warm, woody notes.",4.7,Moderate to long-lasting,All Seasons,Casual (Daytime),$$$,Moderate
Women,Ralph Lauren,Safari,"Galbanum, Hyacinth, Mandarin","Narcissus, Rose, Lily-of-the-Valley","Vetiver, Moss, Tonka Bean","A classic scent with a mix of fresh, green notes and warm, earthy undertones, perfect for the outdoorsy woman.",4.6,Moderate to long-lasting,All Seasons,Casual (Daytime),$$$,Moderate
Women,Ralph Lauren,Notorious,"Black Currant, Pink Peppercorn, Bergamot","Carnation, Peony, Chocolate Cosmos","Patchouli, Musk, Vanilla","A bold and mysterious fragrance with a mix of spicy, floral, and woody notes, perfect for a night out.",4.5,Moderate to long-lasting,Fall & Winter,Casual (Evening),$$$,Moderate
Women,Ralph Lauren,Romance Rosé,"Bergamot, Red Apple, Cassis","Rose de Mai, Jasmine, Lily-of-the-Valley","Patchouli, Ambroxan","A fruity floral fragrance that is light and refreshing, perfect for spring and summer.",4.7,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Ralph Lauren,Midnight Romance,"Raspberry, Italian Bergamot, Litchi","Peony, Sambac Jasmine, Freesia","Vanilla, Ambroxan, Iris","A sensual and mysterious fragrance with a mix of fruity, floral, and woody notes, perfect for a romantic night out.",4.6,Moderate to long-lasting,Fall & Winter,Casual (Evening),$$$,Moderate
Women,Ralph Lauren,Romance,"Ginger, Chamomile, Lemon, Yellow Freesia, Rose, Lotus, White Violet, Carnation","White Violet, Lotus, Day Lily, Chamomile, Ginger, Rose","Oakmoss, Patchouli, Musk","This feminine scent is a blend of fresh rose, ginger, marigold, violet, oakmoss and musk.",4.6,Long-lasting,All Seasons,Formal (All),$$$,Moderate
Women,Ralph Lauren,Ralph,"Japanese Osmanthus, Apple Leaf, Mandarin, Magnolia","Boronia, Yellow Freesia, Linden Blossom, Osmanthus","Musk, White Orris, Patchouli, Amber","A floral fragrance for women with notes of apple tree leaves, mandarin, freesia, magnolia, musk, white orris and Japanese loquat.",4.7,Long-lasting,Spring & Summer,Casual (All),$$,Moderate
Women,Ralph Lauren,Ralph Love,"Sparkling Lemon, Juicy Pear, Raspberry, Pink Tulip, Rose Absolute","Tulip, Gardenia, Magnolia","Patchouli, Ambrox, Musk","A fruity floral fragrance that is playful and flirty with notes of sparkling lemon, juicy pear, and raspberry.",4.5,Long-lasting,All Seasons,Casual (All),$$,Moderate
Women,Ralph Lauren,Midnight Romance,"Raspberry, Bergamot, Litchi","Jasmine, Peony, Freesia, Vanilla, Ambroxan, Iris","Vanilla, Incense, Amber, Woody Notes","A modern and elegant fragrance with notes of raspberry, bergamot, litchi, jasmine, peony, freesia, vanilla, and ambroxan.",4.7,Long-lasting,Fall & Winter,Formal (All),$$$,Moderate
Women,Ralph Lauren,Polo Blue for Women,"Blue Lotus, Gardenia, Orange Blossom","Pink Peony, Rose","White Woods, Musk, Sandalwood",This fresh floral fragrance for women is inspired by the freedom of the big blue sky and the energy of the open waters.,4.8,Long-lasting,Spring & Summer,Casual (All),$$,Moderate
Women,Ralph Lauren,Ralph Lauren Woman,"Black Currant, Pear, Rhubarb, Tangerine","Tuberose, Orange Flower, Turkish Rose, Jasmine Sambac","Hazelnut, Sandalwood, Vanilla, Orris Root, Amber","A woody floral fragrance with fruity notes of black currant, pear, rhubarb, and tangerine, and floral notes of tuberose, orange flower, Turkish rose, and jasmine sambac.",4.5,Long-lasting,All Seasons,Casual (All),$$$,Moderate
Women,Ralph Lauren,Notorious,"Black Currant, Pink Pepper, Bergamot","Peony, Chocolate Cosmos, Carnation","Patchouli, Vanilla, Musk","This luxurious fragrance features top notes of black currant, pink pepper, and bergamot, middle notes of peony, chocolate cosmos, and carnation, and base notes of patchouli, vanilla, and musk.",4.4,Long-lasting,Fall & Winter,Formal (All),$$$,Heavy
Women,Ralph Lauren,Safari,"Green Notes, Galbanum, Hyacinth, Aldehydes, Lemon, Bergamot","Orris Root, Jasmine, Lily-of-the-Valley, Rose","Amber, Patchouli, Sandalwood, Cedar","A classic floral fragrance with green notes, galbanum, hyacinth, aldehydes, lemon, bergamot, orris root, jasmine, lily-of-the-valley, rose, amber, patchouli, sandalwood, and cedar.",4.6,Long-lasting,All Seasons,Formal (All),$$,Moderate
Men,Riviera,Cozumel,"Pineapple, Lime, Sea salt","Geranium, Nutmeg, Jasmine","Cedarwood, Vetiver, Amber",A fresh aquatic scent inspired by the Mexican island of Cozumel.,4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Roja Parfums,Dilmun,"Bergamot, lemon, lime","Jasmine, rose, ylang-ylang","Patchouli, vetiver, vanilla",A fresh and floral fragrance inspired by the ancient kingdom of Dilmun in Mesopotamia,4.7,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Women,Salvatore Ferragamo,Signorina,"Red currant, Pink pepper, Jasmine","Peony, Rose, Pannacotta","Musk, Patchouli, Woody notes","Signorina is a modern, chic, and elegant fragrance that celebrates youthful femininity. The scent is fresh and fruity with a hint of sweetness from the pannacotta.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Salvatore Ferragamo,Emozione,"Bergamot, Iris, Peach","Peony, Bulgarian rose, Heliotrope","White musk, Patchouli, Suede",Emozione is an emotional and sophisticated fragrance that evokes the true essence of femininity. The scent is floral and powdery with a touch of suede that adds warmth and depth to the fragrance.,4.2,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Salvatore Ferragamo,Amo Ferragamo,"Campari, Blackcurrant, Rosemary","Jasmine sambac, Mate absolute, Rhubarb","Tahitian vanilla, Ambrox, Sandalwood",Amo Ferragamo is a bold and seductive fragrance that captures the essence of the modern woman. The scent is sweet and fruity with a touch of bitterness from the Campari and rhubarb.,4.3,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Salvatore Ferragamo,Incanto Shine,"Pineapple, Passionfruit, Bergamot","Freesia, Pink peony, Peach","Cedarwood, Amber, Musk",Incanto Shine is a radiant and joyful fragrance that captures the vibrant energy of summer. The scent is fruity and floral with a touch of warmth from the cedarwood and amber.,4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Salvatore Ferragamo,Attimo,"Nashi pear, Kumquat, Lotus","Peony, Gardenia, Jasmine","Patchouli, Musk, Virginia cedar",Attimo is a sensual and sophisticated fragrance that captures the moment of pure bliss. The scent is fresh and floral with a touch of warmth from the musk and cedar.,4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Salvatore Ferragamo,F for Fascinating,"Mandarin, Pear, Ivy","Jasmine, Leather, Bulgarian rose","Patchouli, Amber, Musk",F for Fascinating is an intriguing and sensual fragrance that embodies the essence of seduction. The scent is fruity and floral with a touch of leather that adds a sensual and mysterious note to the fragrance.,4.0,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Salvatore Ferragamo,Tuscan Creations La Corte,"Lemon, Orange, Pink pepper","Saffron, Jasmine, Black pepper","Vetiver, Amber, Tonka bean",Tuscan Creations La Corte is a luxurious and sophisticated fragrance that captures the essence of Tuscany. The scent is citrusy and spicy with a touch of warmth from the amber and tonka bean.,4.0,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Salvatore Ferragamo,Incanto Bloom,"Grapefruit, Freesia, Tea","Rose, Champaca, Cashmere wood","Musk, Cedarwood, Virginia cedar",Incanto Bloom is a fresh and feminine fragrance that captures the essence of spring. The scent is floral and fruity with a touch of warmth from the cedarwood and musk.,4.1,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Salvatore Ferragamo,Tuscan Creations Bianco di Carrara,"Bergamot, lavender, lemon","White pepper, cedar, patchouli","Amber, musk, vanilla","Tuscan Creations Bianco di Carrara is a fresh and clean fragrance that opens with citrusy notes of bergamot and lemon, followed by the aromatic and herbal aroma of lavender. The heart notes of white pepper and cedar add a spicy and woody aspect, while the base notes of amber, musk, and vanilla give the fragrance a warm and sensual finish.",4.4,Long-lasting,All Seasons,All,$$$,Moderate
Unisex,Salvatore Ferragamo,Tuscan Scent Leather,"Cardamom, Leather","Mate, White freesia","Tonka bean, Vetiver",A luxurious leather fragrance that is spicy and floral with a woody and sweet base.,4.3,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Unisex,Santa Maria Novella,Eau de Cologne,"Bergamot, lemon, neroli","Lavender, rosemary, petitgrain","Musk, amber, vetiver",A classic citrus fragrance that dates back to the 16th century,4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Sean John,3:00 AM,"Mandarin, Bergamot, Cardamom","Tangerine, Orange Blossom, Geranium","Fig Leaves, Smoky Suede, Leather",A spicy and aromatic fragrance that captures the feeling of being up all night and the energy of the city.,4.5,Moderate,Fall & Winter,Casual (Daytime),$$,Moderate
Unisex,Serge Lutens,Cuir Mauresque,"Incense, Leather, Myrtle, Orange Blossom, Amber, Castoreum","Musk, Jasmine, Osmanthus, Patchouli","Benzoin, Civet, Vanilla","A bold and smoky fragrance with a hint of leather and musk, inspired by the exotic aromas of North Africa.",4.2,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Unisex,Serge Lutens,Rose de Nuit,"Rose, Aldehydes, Citrus","Rose, White Flowers, Carnation","Amber, Musk, Incense","A romantic and feminine fragrance with a rich, velvety rose scent, perfect for a night out.",4.1,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Unisex,Serge Lutens,Cèdre,"Cedar, Sandalwood, Cinnamon","Musk, Amber, Benzoin",Vanilla,"A warm and spicy fragrance with a prominent cedar note, perfect for cooler weather.",4.3,Moderate,Spring & Fall,Casual (Daytime),$$,Moderate
Unisex,Serge Lutens,Encens et Lavande,"Lavender, Incense","Amber, Benzoin, Sandalwood",Patchouli,"A unique and mysterious fragrance with a prominent incense note, infused with lavender and woody notes.",4.2,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Unisex,Serge Lutens,Fleur d'Oranger 2007,"Orange blossom, white jasmine","Tuberose, white rose, citrus honey","Musk, tuberose, nutmeg","A floral fragrance with notes of orange blossom, jasmine, and tuberose.",4.3,Moderate to long-lasting,Spring & Summer,Formal (All),$$,Moderate to Strong
Unisex,Serge Lutens,Fleur de Citronnier,"Lemon blossom, lemon zest","Neroli, honey, petitgrain","Beeswax, musk, neroli","A fresh and citrusy fragrance with notes of lemon blossom, neroli, and beeswax.",4.2,Moderate to long-lasting,Spring & Summer,All,$$,Moderate to Strong
Women,Serge Lutens,La Vierge de Fer,"Aldehydes, lemon, spices","Floral notes, rose, ylang-ylang, carnation","Musk, amber, vanilla, woodsy notes","A powdery, floral fragrance with a touch of spice",4.1,Moderate to long-lasting,Fall & Winter,Formal (All),$$$,Moderate
Women,Serge Lutens,La Fille de Berlin,"Rose, Geranium, Hawthorn","Honey, Violet, Iris","Musk, Vanilla",La Fille de Berlin is a floral fragrance with a sweet and spicy scent. It's perfect for those who enjoy classic and feminine fragrances.,4.2,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Unisex,Serge Lutens,Vetiver Oriental,"Mandarin Orange, Pepper, Pink Pepper","Vetiver, Tonka Bean, Cedar","Incense, Musk","A warm and spicy fragrance with a woody base of vetiver and cedar, and a touch of sweetness from tonka bean.",4.2,Moderate,Fall & Winter,Casual (Daytime),$$,Moderate
Unisex,Solinotes,White Sand,"Bergamot, neroli, jasmine","Orange blossom, tiare flower, frangipani","Vanilla, musk, benzoin",A tropical and floral fragrance with a hint of warmth and sweetness,4.5,Moderate,Spring & Summer,Casual (All),$$$,Moderate
Unisex,St. Rose,No. 2 Aldehydic Amber,"Aldehydes, bergamot, coriander, cumin, mandarin, pink pepper","Ylang ylang, jasmine, labdanum, rose, sandalwood","Amber, benzoin, musk, vanilla, vetiver",A classic and elegant unisex fragrance that features aldehydes and amber with a hint of spice.,4.1,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Swiss Arabian,Agarwood Noir,"Bergamot, Lemon, Blackcurrant","Agarwood, Cedarwood, Patchouli","Amber, Musk, Vanilla","A rich and sensual fragrance featuring the rare and luxurious ingredient of agarwood, with a fruity and woody scent.",4.1,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Thierry Mugler,Angel,"Bergamot, Melon, Coconut, Mandarin Orange, Jasmine, Cassia, Cotton Candy, Pineapple, Caraway","Red Berries, Honey, Apricot, Blackberry, Plum, Orchid, Peach, Jasmine, Lily-of-the-Valley, Rose","Tonka Bean, Amber, Patchouli, Musk, Vanilla, Dark Chocolate, Caramel","This iconic fragrance is a sweet and fruity scent with a hint of chocolate and caramel, perfect for the woman who loves a unique and memorable fragrance.",4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Thierry Mugler,Alien,"Sambac Jasmine, Cashmeran Wood, Ambergris",Solar Notes,White Amber,Alien is a floral-woody-amber fragrance that is uniquely feminine and captivating.,4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Thierry Mugler,Aura,"Rhubarb Leaf, Bergamot","Orange Blossom, Green Notes, Ylang-Ylang","Bourbon Vanilla, Wolfwood","This fragrance is inspired by the power of nature, with a blend of botanical and woody notes that create a fresh and earthy scent.",4.3,Moderate,All Seasons,All,$$$,Moderate
Women,Thierry Mugler,Angel Muse,"Grapefruit, Pink Pepper","Hazelnut Cream, Rose, Vetiver","Patchouli, Vanilla","Angel Muse is a gourmand fragrance that is both sweet and spicy, with notes of hazelnut and vanilla that add warmth and depth.",4.4,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Thierry Mugler,Innocent,"Bergamot, Mandarin Orange","Black Currant, Almond, Red Berries","Amber, White Musk","Innocent is a fruity and floral scent that is light and fresh, perfect for everyday wear.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Thierry Mugler,Womanity,"Fig, Caviar","Fig Tree, Salty Notes","Cedar, Musk",Womanity is a unique and bold fragrance that blends sweet and savory notes for a one-of-a-kind scent.,4.4,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Thierry Mugler,Angel Eau Croisiere,"Pineapple Sorbet, Red Berries","Palm Leaf, Floral Notes","Tonka Bean, White Musk","Angel Eau Croisiere is a limited edition fragrance that captures the essence of a tropical vacation, with a fruity and floral scent that is both refreshing and relaxing.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Thierry Mugler,Angel Eau Sucree,"Red Fruits, Sorbet","Caramel, Patchouli","Vanilla, Meringue",Angel Eau Sucree is a sweet and indulgent fragrance that is perfect for those who love dessert-inspired scents.,4.4,Long-lasting,Spring & Summer,Formal (Evening),$$$,Heavy
Women,Thierry Mugler,Angel Muse Eau de Toilette,"Grapefruit, Pink Peppercorn","Hazelnut Cream, Rose","Vetiver, Patchouli","Angel Muse Eau de Toilette is a lighter version of the original Angel Muse fragrance, with a fresh and fruity scent that is perfect for warmer weather.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Thierry Mugler,Alien Eau Extraordinaire,"Tunisian Neroli, Bergamot","Tiare Flower, Heliotrope","White Amber, Cashmeran",Alien Eau Extraordinaire is a floral fragrance with a fresh and exotic scent that is perfect for those who love to stand out.,4.4,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Tokyo Milk,Bulletproof,"Smoked Tea, Coconut Milk, Crushed Cedar","Ebony Woods, Sweetgrass, Wild Honey","Chinotto, Sicilian Mandarin, White Musk",Bulletproof is a unisex fragrance with a warm and sweet scent. It's perfect for those who enjoy cozy and comforting fragrances.,4.3,Long-lasting,Fall & Winter,Formal (Evening),$$,Strong
Men,Tom Daxon,Iridium,"Bergamot, Juniper, Angelica","Iris, Carrot Seed, Sage","Vetiver, Leather, Amber","A sophisticated fragrance with a woody, floral aroma. Inspired by the rare element Iridium.",4.5,Long-lasting,Fall & Winter,Formal (All),$$$,Strong
Men,Tom Daxon,Resin Sacra,"Frankincense, Myrrh, Labdanum","Opoponax, Benzoin, Vanilla","Sandalwood, Cedarwood, Musk",A unisex fragrance with a warm and smoky aroma. Perfect for a winter night out.,4.2,Long-lasting,Fall & Winter,Formal (All),$$,Strong
Men,Tom Daxon,Sicilian Wood,"Bergamot, Grapefruit, Lemon","Jasmine, Lily, Fig","Sandalwood, Vetiver, Amber",A fresh and citrusy fragrance with a woody base. Inspired by the landscape of Sicily.,4.1,Long-lasting,Fall & Winter,Formal (All),$$$,Strong
Men,Tom Daxon,Reverie,"Violet, Carrot Seed, Iris","Heliotrope, Jasmine, Mimosa","Musk, Vanilla, Sandalwood",A soft and floral fragrance that is perfect for daily wear.,4.0,Moderate,Spring & Summer,Casual (All),$$$,Moderate
Men,Tom Daxon,Crushing Bloom,"Mandarin, Pink Pepper, Blackcurrant","Jasmine, Peony, Rose","Patchouli, Amber, Musk",A bright and floral fragrance that is perfect for spring and summer.,4.0,Moderate,Spring & Summer,Formal (All),$$,Moderate
Women,Tom Ford,Black Orchid,"Black Truffle, Ylang-Ylang, Bergamot","Black Orchid, Black Plum, Orchid, Lotus","Vanilla, Patchouli, Sandalwood, Vetiver, Balsam",An oriental floral fragrance with a luxurious and sensual aroma.,4.6,Long-lasting,Fall & Winter,Casual (Evening),$$$,Strong
Women,Tom Ford,Oud Wood,"Rosewood, Cardamom, Chinese Pepper","Oud, Vetiver, Tonka Bean","Amber, Sandalwood, Vanilla",A woody oriental fragrance with a warm and spicy aroma.,4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Women,Tom Ford,Tobacco Vanille,"Tobacco Leaf, Spicy Notes, Tonka Bean","Tobacco Blossom, Vanilla, Cacao","Dried Fruits, Woody Notes",An oriental spicy fragrance with a warm and cozy aroma.,4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Women,Tom Ford,Neroli Portofino,"Bergamot, Mandarin Orange, Lemon, Lavender","Neroli, Orange Blossom, Jasmine, Pittosporum","Amber, Woody Notes",A citrus aromatic fragrance with a fresh and invigorating aroma.,4.4,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Tom Ford,Soleil Blanc,"Bergamot, Cardamom, Pink Pepper, Pistachio","Ylang-Ylang, Jasmine, Tuberose","Coconut, Amber, Tonka Bean",A floral oriental fragrance with a tropical and exotic aroma.,4.5,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Tom Ford,White Patchouli,"Bergamot, White Peony, Coriander","Patchouli, Rose, Jasmine","Incense, Woody Notes",A chypre floral fragrance with a modern and sophisticated aroma.,4.3,Moderate to long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Women,Tom Ford,Jasmin Rouge,"Bergamot, Mandarin Orange, Cinnamon, Ginger","Jasmine, Ylang-Ylang, Neroli, Cardamom","Amber, Leather, Vanilla, Woody Notes",A floral oriental fragrance with a seductive and spicy aroma.,4.4,Moderate to long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Women,Tom Ford,Costa Azzurra,"Juniper Berries, Seaweed, Myrtle, Lemon","Cypress, Pine Needles, Lentisque","Labdanum, Vanilla, Algae, Woody Notes",A woody aromatic fragrance with a refreshing and salty aroma.,4.3,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Tom Ford,Velvet Orchid,"Honey, Rum, Mandarin Orange, Bergamot","Jasmine, Rose Oil, Cattleya Orchid, Orange Blossom","Vanilla, Suede, Sandalwood, Myrrh",A floral oriental fragrance with a glamorous and sensual aroma.,4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Women,Tom Ford,Fleur de Portofino,"Bergamot, Lemon, Mandarin Orange, Violet Leaf","Jasmine, Orange Blossom, Osmanthus, Tiare Flower","Amber, Musk",A floral fragrance with a fresh and aquatic aroma.,4.2,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Tom Ford,Tobacco Vanille,"Tobacco Leaf, Vanilla","Tonka Bean, Cacao","Dry Fruit Accord, Woods","A warm and rich fragrance with a blend of sweet and spicy notes, perfect for the sophisticated and confident man.",4.8,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Tom Ford,Oud Wood,"Rosewood, Cardamom","Oud Wood, Vetiver","Tonka Bean, Amber","A luxurious and woody fragrance with a mix of oriental and spicy notes, perfect for the refined and elegant man.",4.7,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Tom Ford,Noir Extreme,"Mandarin, Neroli","Saffron, Cardamom","Vanilla, Amber","A spicy and warm fragrance with a mix of sweet and woody notes, perfect for the bold and daring man.",4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Tom Ford,Grey Vetiver,"Grapefruit, Orange Blossom","Nutmeg, Pimento","Vetiver, Oakmoss","A fresh and earthy fragrance with a blend of citrus and woody notes, perfect for the modern and stylish man.",4.6,Long-lasting,Fall & Winter,Formal (Daytime),$$$,Moderate
Men,Tom Ford,Noir,"Italian Bergamot, Black Pepper","Violet, Nutmeg","Amber, Vanilla","A bold and sensual fragrance with a mix of spicy and sweet notes, perfect for the charismatic and mysterious man.",4.6,Moderate,Fall & Winter,Casual (Daytime),$$$,Moderate
